n,activation_time,mode
1098,2.538806026470038,modified
1099,2.5389337919878683,modified
1100,2.5394207435481535,modified
1101,2.540256880849309,modified
1102,2.540300251546804,modified
1103,2.5408615175172335,modified
1104,2.5411574647845763,modified
1105,2.541389933088176,modified
1106,2.541608091021606,modified
1107,2.541793184697709,modified
1108,2.54196951298582,modified
1109,2.542384809324086,modified
1110,2.542667919200442,modified
1111,2.943255817719141,modified
1112,2.5434882147999343,modified
1113,2.544052780745319,modified
1114,2.5442166486069517,modified
1115,2.5443753513500496,modified
1116,2.544661049132705,modified
1117,2.5447073480156064,modified
1118,2.5448049677743643,modified
1119,2.544970759693774,modified
1120,2.5453673281708586,modified
1121,2.5458220065320902,modified
1122,2.5459691153717645,modified
1123,2.5462168519860073,modified
1124,2.5462172921367383,modified
1125,2.546219083564532,modified
1126,2.546305983244011,modified
1127,2.5463258125280186,modified
1128,2.5466131975723942,modified
1129,2.5470259422453,modified
1130,2.5471089783878567,modified
1131,2.5479942533846742,modified
1132,2.5479993080654078,modified
1133,2.5480877741193115,modified
1134,2.548584054067204,modified
1135,2.549172155693183,modified
1136,2.5493636672608053,modified
1137,2.549580635294255,modified
1138,2.549624878983738,modified
1139,2.0498951032923496,modified
1140,2.549926742268536,modified
1141,2.5500391096679036,modified
